title,imdb_id,content_type,platform,platform_group,monetization,presentation,region,imdb_rating,year,genre_primary,vote_weighted_score,content_type_titles,is_recent
The Silence of the Lambs,tt0102926,movie,Amazon Prime Video with Ads,Other,flatrate,hd,IN,8.6,1991,Police Procedural,8.206,movie,0
Seven Samurai,tt0047478,movie,HBO Max,Other,flatrate,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,HBO Max Amazon Channel,Other,flatrate,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Criterion Channel,Other,flatrate,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Kanopy,Other,free,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Plex,Other,free,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Plex Channel,Other,free,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Shout! Factory TV,Other,ads,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,YouTube Free,Other,ads,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Tubi TV,Other,ads,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Amazon Video,Other,rent,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Apple TV Store,Other,rent,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Google Play Movies,Other,rent,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,YouTube,Other,rent,hd,US,8.6,1954,Japanese,8.206,movie,0
Seven Samurai,tt0047478,movie,Fandango At Home,Other,rent,hd,US,8.6,1954,Japanese,8.206,movie,0
Saving Private Ryan,tt0120815,movie,Netflix,Netflix,flatrate,hd,IN,8.6,1998,Action Epic,8.206,movie,0
Saving Private Ryan,tt0120815,movie,Apple TV Store,Other,rent,hd,IN,8.6,1998,Action Epic,8.206,movie,0
Saving Private Ryan,tt0120815,movie,ZEE5,Other,rent,hd,IN,8.6,1998,Action Epic,8.206,movie,0
Saving Private Ryan,tt0120815,movie,Google Play Movies,Other,rent,hd,IN,8.6,1998,Action Epic,8.206,movie,0
Saving Private Ryan,tt0120815,movie,YouTube,Other,rent,hd,IN,8.6,1998,Action Epic,8.206,movie,0
Saving Private Ryan,tt0120815,movie,Amazon Video,Other,rent,hd,IN,8.6,1998,Action Epic,8.206,movie,0
The Green Mile,tt0120689,movie,Apple TV Store,Other,rent,hd,IN,8.6,1999,Period Drama,8.206,movie,0
The Green Mile,tt0120689,movie,Google Play Movies,Other,rent,hd,IN,8.6,1999,Period Drama,8.206,movie,0
The Green Mile,tt0120689,movie,YouTube,Other,rent,hd,IN,8.6,1999,Period Drama,8.206,movie,0
The Green Mile,tt0120689,movie,Amazon Video,Other,rent,hd,IN,8.6,1999,Period Drama,8.206,movie,0
Breaking Bad,tt0903747,tv_show,Netflix,Netflix,flatrate,hd,IN,9.5,2008,Dark Comedy,9.5,tv_show,0
Planet Earth II,tt5491994,tv_show,Discovery+,Other,flatrate,hd,IN,9.4,2016,Docuseries,9.4,tv_show,0
Planet Earth II,tt5491994,tv_show,Discovery+ Amazon Channel,Other,flatrate,hd,IN,9.4,2016,Docuseries,9.4,tv_show,0
Planet Earth,tt0795176,tv_show,Discovery+,Other,flatrate,hd,IN,9.4,2006,Docuseries,9.4,tv_show,0
Planet Earth,tt0795176,tv_show,VI movies and tv,Other,flatrate,hd,IN,9.4,2006,Docuseries,9.4,tv_show,0
