imdb_id,title,content_type,year,decade,era,is_recent,imdb_rating,votes,vote_weighted_score,popularity_tier,runtime_min,runtime_category,genres,genre_primary,certificate,plot,rank,platform,source
KGL_ts5145,The Challenge,tv_show,1998,1990s,1990s,0,7.8,3362,27.508,Medium,40.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_ts257315,Karma's World,tv_show,2021,2020s,2020s,1,5.8,156,12.736,Low,12.0,Short (<1h),Unknown,Unknown,TV-Y,,,Netflix,kaggle
KGL_tm178106,Chillar Party,movie,2011,2010s,2010–2014,0,7.5,7831,29.204,High,130.0,Epic (2h+),Unknown,Unknown,G,,,Netflix,kaggle
KGL_ts55978,Samurai Gourmet,tv_show,2017,2010s,2015–2019,0,8.1,2099,26.91,Medium,21.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm928497,Valley of the Dead,movie,2022,2020s,2020s,1,6.5,114,13.395,Low,101.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm193211,Mucize,movie,2015,2010s,2015–2019,0,7.6,12593,31.161,High,136.0,Epic (2h+),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_tm136483,The DUFF,movie,2015,2010s,2015–2019,0,6.4,93675,31.818,High,101.0,Long (1.5–2h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_tm836501,Super Monsters: Vida's First Halloween,movie,2019,2010s,2015–2019,1,5.9,37,9.321,Low,24.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts272092,Canine Intervention,tv_show,2021,2020s,2020s,1,6.5,892,19.181,Low,36.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm1180610,The Wrath of God,movie,2022,2020s,2020s,1,5.7,2800,19.65,Medium,97.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm184732,Dhobi Ghat,movie,2010,2010s,2010–2014,0,7.0,13167,28.837,High,102.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm873354,Si Doel the Movie 3,movie,2020,2020s,2020s,1,6.5,132,13.805,Low,93.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm427308,Falls Around Her,movie,2018,2010s,2015–2019,1,6.3,127,13.275,Low,100.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts58528,Inside West Coast Customs,tv_show,2011,2010s,2010–2014,0,7.3,44,12.068,Low,43.0,Short (<1h),Unknown,Unknown,TV-PG,,,Netflix,kaggle
KGL_ts287703,Mine,tv_show,2021,2020s,2020s,1,7.7,1169,23.625,Medium,70.0,Standard (1–1.5h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm472231,Si Doel the Movie 2,movie,2019,2010s,2015–2019,1,6.8,183,15.401,Low,95.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts249161,Tariqi: My Way,tv_show,2015,2010s,2015–2019,0,7.1,148,15.43,Low,41.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm283322,Burning Sands,movie,2017,2010s,2015–2019,0,6.0,2854,20.734,Medium,105.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts77824,My Next Guest Needs No Introduction With David Letterman,tv_show,2018,2010s,2015–2019,1,7.8,5581,29.225,Medium,50.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
